source,target
The cake was rolled by the giraffe .,"* cake ( x _ 1 ) ; * giraffe ( x _ 6 ) ; roll . theme ( x _ 3 , x _ 1 ) AND roll . agent ( x _ 3 , x _ 6 )"
Olivia gave a can in the bunker to a girl .,"* bunker ( x _ 6 ) ; give . agent ( x _ 1 , Olivia ) AND give . theme ( x _ 1 , x _ 3 ) AND give . recipient ( x _ 1 , x _ 9 ) AND can ( x _ 3 ) AND can . nmod . in ( x _ 3 , x _ 6 ) AND girl ( x _ 9 )"
A girl wired the ball to a lawyer .,"* ball ( x _ 4 ) ; girl ( x _ 1 ) AND wire . agent ( x _ 2 , x _ 1 ) AND wire . theme ( x _ 2 , x _ 4 ) AND wire . recipient ( x _ 2 , x _ 7 ) AND lawyer ( x _ 7 )"
A rose was lended to Liam by the monkey .,"* monkey ( x _ 8 ) ; rose ( x _ 1 ) AND lend . theme ( x _ 3 , x _ 1 ) AND lend . recipient ( x _ 3 , Liam ) AND lend . agent ( x _ 3 , x _ 8 )"
A priest wanted to talk .,"priest ( x _ 1 ) AND want . agent ( x _ 2 , x _ 1 ) AND want . xcomp ( x _ 2 , x _ 4 ) AND talk . agent ( x _ 4 , x _ 1 )"
A cake was given to the girl by Isabella .,"* girl ( x _ 6 ) ; cake ( x _ 1 ) AND give . theme ( x _ 3 , x _ 1 ) AND give . recipient ( x _ 3 , x _ 6 ) AND give . agent ( x _ 3 , Isabella )"
Emma proved that the box was eaten .,"* box ( x _ 4 ) ; prove . agent ( x _ 1 , Emma ) AND prove . ccomp ( x _ 1 , x _ 6 ) AND eat . theme ( x _ 6 , x _ 4 )"
Jacob was given a box beside a house on the stage by Noah .,"* stage ( x _ 10 ) ; give . recipient ( x _ 2 , Jacob ) AND give . theme ( x _ 2 , x _ 4 ) AND give . agent ( x _ 2 , Noah ) AND box ( x _ 4 ) AND box . nmod . beside ( x _ 4 , x _ 7 ) AND house ( x _ 7 ) AND house . nmod . on ( x _ 7 , x _ 10 )"
Joshua was lended the button .,"* button ( x _ 4 ) ; lend . recipient ( x _ 2 , Joshua ) AND lend . theme ( x _ 2 , x _ 4 )"
The zebra smiled .,"* zebra ( x _ 1 ) ; smile . agent ( x _ 2 , x _ 1 )"
Jayden called .,"call . agent ( x _ 1 , Jayden )"
A hammer was drawn by a girl .,"hammer ( x _ 1 ) AND draw . theme ( x _ 3 , x _ 1 ) AND draw . agent ( x _ 3 , x _ 6 ) AND girl ( x _ 6 )"
The dog was served the game beside the stage .,"* dog ( x _ 1 ) ; * game ( x _ 5 ) ; * stage ( x _ 8 ) ; serve . recipient ( x _ 3 , x _ 1 ) AND serve . theme ( x _ 3 , x _ 5 ) AND game . nmod . beside ( x _ 5 , x _ 8 )"
A baby gave Mia a cake in the car .,"* car ( x _ 8 ) ; baby ( x _ 1 ) AND give . agent ( x _ 2 , x _ 1 ) AND give . recipient ( x _ 2 , Mia ) AND give . theme ( x _ 2 , x _ 5 ) AND cake ( x _ 5 ) AND cake . nmod . in ( x _ 5 , x _ 8 )"
The cake was posted to Lucas .,"* cake ( x _ 1 ) ; post . theme ( x _ 3 , x _ 1 ) AND post . recipient ( x _ 3 , Lucas )"
The cake was rolled by Wyatt .,"* cake ( x _ 1 ) ; roll . theme ( x _ 3 , x _ 1 ) AND roll . agent ( x _ 3 , Wyatt )"
The dog broke a teacher on the crack .,"* dog ( x _ 1 ) ; * crack ( x _ 7 ) ; break . agent ( x _ 2 , x _ 1 ) AND break . theme ( x _ 2 , x _ 4 ) AND teacher ( x _ 4 ) AND teacher . nmod . on ( x _ 4 , x _ 7 )"
Liam wished that the sandwich was rolled .,"* sandwich ( x _ 4 ) ; wish . agent ( x _ 1 , Liam ) AND wish . ccomp ( x _ 1 , x _ 6 ) AND roll . theme ( x _ 6 , x _ 4 )"
The strawberry was burned by the girl .,"* strawberry ( x _ 1 ) ; * girl ( x _ 6 ) ; burn . theme ( x _ 3 , x _ 1 ) AND burn . agent ( x _ 3 , x _ 6 )"
Savannah shortened the cake .,"* cake ( x _ 3 ) ; shorten . agent ( x _ 1 , Savannah ) AND shorten . theme ( x _ 1 , x _ 3 )"
The pancake was eaten .,"* pancake ( x _ 1 ) ; eat . theme ( x _ 3 , x _ 1 )"
The girl supported that Eleanor helped the baby beside the book .,"* girl ( x _ 1 ) ; * baby ( x _ 7 ) ; * book ( x _ 10 ) ; support . agent ( x _ 2 , x _ 1 ) AND support . ccomp ( x _ 2 , x _ 5 ) AND help . agent ( x _ 5 , Eleanor ) AND help . theme ( x _ 5 , x _ 7 ) AND baby . nmod . beside ( x _ 7 , x _ 10 )"
Emma lended the donut to a dog .,"* donut ( x _ 3 ) ; lend . agent ( x _ 1 , Emma ) AND lend . theme ( x _ 1 , x _ 3 ) AND lend . recipient ( x _ 1 , x _ 6 ) AND dog ( x _ 6 )"
Liam preferred to nap .,"prefer . agent ( x _ 1 , Liam ) AND prefer . xcomp ( x _ 1 , x _ 3 ) AND nap . agent ( x _ 3 , Liam )"
The bird intended to investigate .,"* bird ( x _ 1 ) ; intend . agent ( x _ 2 , x _ 1 ) AND intend . xcomp ( x _ 2 , x _ 4 ) AND investigate . agent ( x _ 4 , x _ 1 )"
A cake improved .,"cake ( x _ 1 ) AND improve . theme ( x _ 2 , x _ 1 )"
The plant was eaten by William .,"* plant ( x _ 1 ) ; eat . theme ( x _ 3 , x _ 1 ) AND eat . agent ( x _ 3 , William )"
A radio was shortened by Penelope .,"radio ( x _ 1 ) AND shorten . theme ( x _ 3 , x _ 1 ) AND shorten . agent ( x _ 3 , Penelope )"
A coach attempted to walk .,"coach ( x _ 1 ) AND attempt . agent ( x _ 2 , x _ 1 ) AND attempt . xcomp ( x _ 2 , x _ 4 ) AND walk . agent ( x _ 4 , x _ 1 )"
A cake was found by a boy .,"cake ( x _ 1 ) AND find . theme ( x _ 3 , x _ 1 ) AND find . agent ( x _ 3 , x _ 6 ) AND boy ( x _ 6 )"
A cake was poked by a boy .,"cake ( x _ 1 ) AND poke . theme ( x _ 3 , x _ 1 ) AND poke . agent ( x _ 3 , x _ 6 ) AND boy ( x _ 6 )"
Emma was given a present on a bible by the boy .,"* boy ( x _ 10 ) ; give . recipient ( x _ 2 , Emma ) AND give . theme ( x _ 2 , x _ 4 ) AND give . agent ( x _ 2 , x _ 10 ) AND present ( x _ 4 ) AND present . nmod . on ( x _ 4 , x _ 7 ) AND bible ( x _ 7 )"
A creature was given the cake beside a beast by Liam .,"* cake ( x _ 5 ) ; creature ( x _ 1 ) AND give . recipient ( x _ 3 , x _ 1 ) AND give . theme ( x _ 3 , x _ 5 ) AND give . agent ( x _ 3 , Liam ) AND cake . nmod . beside ( x _ 5 , x _ 8 ) AND beast ( x _ 8 )"
A muffin was found .,"muffin ( x _ 1 ) AND find . theme ( x _ 3 , x _ 1 )"
A girl rolled the donut .,"* donut ( x _ 4 ) ; girl ( x _ 1 ) AND roll . agent ( x _ 2 , x _ 1 ) AND roll . theme ( x _ 2 , x _ 4 )"
The pupil smiled .,"* pupil ( x _ 1 ) ; smile . agent ( x _ 2 , x _ 1 )"
The donut was liked by Victoria .,"* donut ( x _ 1 ) ; like . theme ( x _ 3 , x _ 1 ) AND like . agent ( x _ 3 , Victoria )"
A donut was eaten by the creature .,"* creature ( x _ 6 ) ; donut ( x _ 1 ) AND eat . theme ( x _ 3 , x _ 1 ) AND eat . agent ( x _ 3 , x _ 6 )"
A child wanted to run .,"child ( x _ 1 ) AND want . agent ( x _ 2 , x _ 1 ) AND want . xcomp ( x _ 2 , x _ 4 ) AND run . agent ( x _ 4 , x _ 1 )"
Emma tolerated that the dog slid .,"* dog ( x _ 4 ) ; tolerate . agent ( x _ 1 , Emma ) AND tolerate . ccomp ( x _ 1 , x _ 5 ) AND slide . theme ( x _ 5 , x _ 4 )"
A lollipop was touched .,"lollipop ( x _ 1 ) AND touch . theme ( x _ 3 , x _ 1 )"
The donut was loaned to a girl by Emma .,"* donut ( x _ 1 ) ; loan . theme ( x _ 3 , x _ 1 ) AND loan . recipient ( x _ 3 , x _ 6 ) AND loan . agent ( x _ 3 , Emma ) AND girl ( x _ 6 )"
A rose was frozen by Abigail .,"rose ( x _ 1 ) AND freeze . theme ( x _ 3 , x _ 1 ) AND freeze . agent ( x _ 3 , Abigail )"
The cake was given to Emma by Olivia .,"* cake ( x _ 1 ) ; give . theme ( x _ 3 , x _ 1 ) AND give . recipient ( x _ 3 , Emma ) AND give . agent ( x _ 3 , Olivia )"
The patient passed the ball to Daniel .,"* patient ( x _ 1 ) ; * ball ( x _ 4 ) ; pass . agent ( x _ 2 , x _ 1 ) AND pass . theme ( x _ 2 , x _ 4 ) AND pass . recipient ( x _ 2 , Daniel )"
Charlotte sent a donut beside the crystal to Oliver .,"* crystal ( x _ 6 ) ; send . agent ( x _ 1 , Charlotte ) AND send . theme ( x _ 1 , x _ 3 ) AND send . recipient ( x _ 1 , Oliver ) AND donut ( x _ 3 ) AND donut . nmod . beside ( x _ 3 , x _ 6 )"
A cat appreciated that a cake was broken .,"cat ( x _ 1 ) AND appreciate . agent ( x _ 2 , x _ 1 ) AND appreciate . ccomp ( x _ 2 , x _ 7 ) AND cake ( x _ 5 ) AND break . theme ( x _ 7 , x _ 5 )"
A cake was loaned to Emma by a giraffe .,"cake ( x _ 1 ) AND loan . theme ( x _ 3 , x _ 1 ) AND loan . recipient ( x _ 3 , Emma ) AND loan . agent ( x _ 3 , x _ 8 ) AND giraffe ( x _ 8 )"
Isabella preferred to eat .,"prefer . agent ( x _ 1 , Isabella ) AND prefer . xcomp ( x _ 1 , x _ 3 ) AND eat . agent ( x _ 3 , Isabella )"
Mason believed that Liam ate the cake .,"* cake ( x _ 6 ) ; believe . agent ( x _ 1 , Mason ) AND believe . ccomp ( x _ 1 , x _ 4 ) AND eat . agent ( x _ 4 , Liam ) AND eat . theme ( x _ 4 , x _ 6 )"
A donut was adored by the mouse .,"* mouse ( x _ 6 ) ; donut ( x _ 1 ) AND adore . theme ( x _ 3 , x _ 1 ) AND adore . agent ( x _ 3 , x _ 6 )"
The donut was frozen by the tourist .,"* donut ( x _ 1 ) ; * tourist ( x _ 6 ) ; freeze . theme ( x _ 3 , x _ 1 ) AND freeze . agent ( x _ 3 , x _ 6 )"
The boy slid William .,"* boy ( x _ 1 ) ; slide . agent ( x _ 2 , x _ 1 ) AND slide . theme ( x _ 2 , William )"
The watch was fed to the boy by Noah .,"* watch ( x _ 1 ) ; * boy ( x _ 6 ) ; feed . theme ( x _ 3 , x _ 1 ) AND feed . recipient ( x _ 3 , x _ 6 ) AND feed . agent ( x _ 3 , Noah )"
Theodore liked that a hat was appreciated by the boy .,"* boy ( x _ 9 ) ; like . agent ( x _ 1 , Theodore ) AND like . ccomp ( x _ 1 , x _ 6 ) AND hat ( x _ 4 ) AND appreciate . theme ( x _ 6 , x _ 4 ) AND appreciate . agent ( x _ 6 , x _ 9 )"
Bella needed to smirk .,"need . agent ( x _ 1 , Bella ) AND need . xcomp ( x _ 1 , x _ 3 ) AND smirk . agent ( x _ 3 , Bella )"
A dog sold the driver the jar in a room .,"* driver ( x _ 4 ) ; * jar ( x _ 6 ) ; dog ( x _ 1 ) AND sell . agent ( x _ 2 , x _ 1 ) AND sell . recipient ( x _ 2 , x _ 4 ) AND sell . theme ( x _ 2 , x _ 6 ) AND jar . nmod . in ( x _ 6 , x _ 9 ) AND room ( x _ 9 )"
The rose was lended to the wolf .,"* rose ( x _ 1 ) ; * wolf ( x _ 6 ) ; lend . theme ( x _ 3 , x _ 1 ) AND lend . recipient ( x _ 3 , x _ 6 )"
The biscuit was given to Emma by James .,"* biscuit ( x _ 1 ) ; give . theme ( x _ 3 , x _ 1 ) AND give . recipient ( x _ 3 , Emma ) AND give . agent ( x _ 3 , James )"
Henry liked a cockroach in a box .,"like . agent ( x _ 1 , Henry ) AND like . theme ( x _ 1 , x _ 3 ) AND cockroach ( x _ 3 ) AND cockroach . nmod . in ( x _ 3 , x _ 6 ) AND box ( x _ 6 )"
The biscuit was lended to Luna by Liam .,"* biscuit ( x _ 1 ) ; lend . theme ( x _ 3 , x _ 1 ) AND lend . recipient ( x _ 3 , Luna ) AND lend . agent ( x _ 3 , Liam )"
A tourist floated a cake in a house .,"tourist ( x _ 1 ) AND float . agent ( x _ 2 , x _ 1 ) AND float . theme ( x _ 2 , x _ 4 ) AND cake ( x _ 4 ) AND cake . nmod . in ( x _ 4 , x _ 7 ) AND house ( x _ 7 )"
A sailor wanted to sleep .,"sailor ( x _ 1 ) AND want . agent ( x _ 2 , x _ 1 ) AND want . xcomp ( x _ 2 , x _ 4 ) AND sleep . agent ( x _ 4 , x _ 1 )"
A cake was drawn by the dog .,"* dog ( x _ 6 ) ; cake ( x _ 1 ) AND draw . theme ( x _ 3 , x _ 1 ) AND draw . agent ( x _ 3 , x _ 6 )"
The shirt was hunted .,"* shirt ( x _ 1 ) ; hunt . theme ( x _ 3 , x _ 1 )"
A cookie rolled .,"cookie ( x _ 1 ) AND roll . theme ( x _ 2 , x _ 1 )"
A cake was posted to Oliver by Emma .,"cake ( x _ 1 ) AND post . theme ( x _ 3 , x _ 1 ) AND post . recipient ( x _ 3 , Oliver ) AND post . agent ( x _ 3 , Emma )"
Brooklyn drew .,"draw . agent ( x _ 1 , Brooklyn )"
The drink was drawn .,"* drink ( x _ 1 ) ; draw . theme ( x _ 3 , x _ 1 )"
A bat was adored .,"bat ( x _ 1 ) AND adore . theme ( x _ 3 , x _ 1 )"
Charlotte offered the boy a cake on the tree on a plate .,"* boy ( x _ 3 ) ; * tree ( x _ 8 ) ; offer . agent ( x _ 1 , Charlotte ) AND offer . recipient ( x _ 1 , x _ 3 ) AND offer . theme ( x _ 1 , x _ 5 ) AND cake ( x _ 5 ) AND cake . nmod . on ( x _ 5 , x _ 8 ) AND tree . nmod . on ( x _ 8 , x _ 11 ) AND plate ( x _ 11 )"
Ava enlarged the donut in the garden .,"* donut ( x _ 3 ) ; * garden ( x _ 6 ) ; enlarge . agent ( x _ 1 , Ava ) AND enlarge . theme ( x _ 1 , x _ 3 ) AND donut . nmod . in ( x _ 3 , x _ 6 )"
A donut was liked by the lion .,"* lion ( x _ 6 ) ; donut ( x _ 1 ) AND like . theme ( x _ 3 , x _ 1 ) AND like . agent ( x _ 3 , x _ 6 )"
The cake was cleaned .,"* cake ( x _ 1 ) ; clean . theme ( x _ 3 , x _ 1 )"
The melon was adored by Emma .,"* melon ( x _ 1 ) ; adore . theme ( x _ 3 , x _ 1 ) AND adore . agent ( x _ 3 , Emma )"
A girl sold the cake to Benjamin .,"* cake ( x _ 4 ) ; girl ( x _ 1 ) AND sell . agent ( x _ 2 , x _ 1 ) AND sell . theme ( x _ 2 , x _ 4 ) AND sell . recipient ( x _ 2 , Benjamin )"
The banana was lended to Chloe by Carter .,"* banana ( x _ 1 ) ; lend . theme ( x _ 3 , x _ 1 ) AND lend . recipient ( x _ 3 , Chloe ) AND lend . agent ( x _ 3 , Carter )"
William was rented a flower on the log .,"* log ( x _ 7 ) ; rent . recipient ( x _ 2 , William ) AND rent . theme ( x _ 2 , x _ 4 ) AND flower ( x _ 4 ) AND flower . nmod . on ( x _ 4 , x _ 7 )"
Emma tolerated that a lion froze Savannah .,"tolerate . agent ( x _ 1 , Emma ) AND tolerate . ccomp ( x _ 1 , x _ 5 ) AND lion ( x _ 4 ) AND freeze . agent ( x _ 5 , x _ 4 ) AND freeze . theme ( x _ 5 , Savannah )"
Elizabeth liked that a melon was crumpled .,"like . agent ( x _ 1 , Elizabeth ) AND like . ccomp ( x _ 1 , x _ 6 ) AND melon ( x _ 4 ) AND crumple . theme ( x _ 6 , x _ 4 )"
A girl expected to paint .,"girl ( x _ 1 ) AND expect . agent ( x _ 2 , x _ 1 ) AND expect . xcomp ( x _ 2 , x _ 4 ) AND paint . agent ( x _ 4 , x _ 1 )"
The cat believed that Elizabeth craved to read .,"* cat ( x _ 1 ) ; believe . agent ( x _ 2 , x _ 1 ) AND believe . ccomp ( x _ 2 , x _ 5 ) AND crave . agent ( x _ 5 , Elizabeth ) AND crave . xcomp ( x _ 5 , x _ 7 ) AND read . agent ( x _ 7 , Elizabeth )"
The boy rolled the melon in the cabinet .,"* boy ( x _ 1 ) ; * melon ( x _ 4 ) ; * cabinet ( x _ 7 ) ; roll . agent ( x _ 2 , x _ 1 ) AND roll . theme ( x _ 2 , x _ 4 ) AND melon . nmod . in ( x _ 4 , x _ 7 )"
The shirt inflated .,"* shirt ( x _ 1 ) ; inflate . theme ( x _ 2 , x _ 1 )"
A girl shortened Mia .,"girl ( x _ 1 ) AND shorten . agent ( x _ 2 , x _ 1 ) AND shorten . theme ( x _ 2 , Mia )"
A hamburger was eaten by the dog .,"* dog ( x _ 6 ) ; hamburger ( x _ 1 ) AND eat . theme ( x _ 3 , x _ 1 ) AND eat . agent ( x _ 3 , x _ 6 )"
A bag was dusted by Emma .,"bag ( x _ 1 ) AND dust . theme ( x _ 3 , x _ 1 ) AND dust . agent ( x _ 3 , Emma )"
The chair was shortened by John .,"* chair ( x _ 1 ) ; shorten . theme ( x _ 3 , x _ 1 ) AND shorten . agent ( x _ 3 , John )"
The crocodile smirked .,"* crocodile ( x _ 1 ) ; smirk . agent ( x _ 2 , x _ 1 )"
A donut was noticed .,"donut ( x _ 1 ) AND notice . theme ( x _ 3 , x _ 1 )"
The cake was sent to Mason .,"* cake ( x _ 1 ) ; send . theme ( x _ 3 , x _ 1 ) AND send . recipient ( x _ 3 , Mason )"
The chicken drew .,"* chicken ( x _ 1 ) ; draw . agent ( x _ 2 , x _ 1 )"
James wanted to walk .,"want . agent ( x _ 1 , James ) AND want . xcomp ( x _ 1 , x _ 3 ) AND walk . agent ( x _ 3 , James )"
Liam liked the girl .,"* girl ( x _ 3 ) ; like . agent ( x _ 1 , Liam ) AND like . theme ( x _ 1 , x _ 3 )"
A cookie was promised to a dog .,"cookie ( x _ 1 ) AND promise . theme ( x _ 3 , x _ 1 ) AND promise . recipient ( x _ 3 , x _ 6 ) AND dog ( x _ 6 )"
The pony nursed .,"* pony ( x _ 1 ) ; nurse . agent ( x _ 2 , x _ 1 )"
A patient ate .,"patient ( x _ 1 ) AND eat . agent ( x _ 2 , x _ 1 )"
Isabella was lended the donut in the room .,"* donut ( x _ 4 ) ; * room ( x _ 7 ) ; lend . recipient ( x _ 2 , Isabella ) AND lend . theme ( x _ 2 , x _ 4 ) AND donut . nmod . in ( x _ 4 , x _ 7 )"
Benjamin hoped that the glue was wired to Emma by the boy .,"* glue ( x _ 4 ) ; * boy ( x _ 11 ) ; hope . agent ( x _ 1 , Benjamin ) AND hope . ccomp ( x _ 1 , x _ 6 ) AND wire . theme ( x _ 6 , x _ 4 ) AND wire . recipient ( x _ 6 , Emma ) AND wire . agent ( x _ 6 , x _ 11 )"
The girl stabbed a cake on a table .,"* girl ( x _ 1 ) ; stab . agent ( x _ 2 , x _ 1 ) AND stab . theme ( x _ 2 , x _ 4 ) AND cake ( x _ 4 ) AND cake . nmod . on ( x _ 4 , x _ 7 ) AND table ( x _ 7 )"
A donut was sold to a butterfly by the princess .,"* princess ( x _ 9 ) ; donut ( x _ 1 ) AND sell . theme ( x _ 3 , x _ 1 ) AND sell . recipient ( x _ 3 , x _ 6 ) AND sell . agent ( x _ 3 , x _ 9 ) AND butterfly ( x _ 6 )"
A box was returned to Emma .,"box ( x _ 1 ) AND return . theme ( x _ 3 , x _ 1 ) AND return . recipient ( x _ 3 , Emma )"
James saw a donut beside the table .,"* table ( x _ 6 ) ; see . agent ( x _ 1 , James ) AND see . theme ( x _ 1 , x _ 3 ) AND donut ( x _ 3 ) AND donut . nmod . beside ( x _ 3 , x _ 6 )"
A child noticed that a cake was rolled by a boy .,"child ( x _ 1 ) AND notice . agent ( x _ 2 , x _ 1 ) AND notice . ccomp ( x _ 2 , x _ 7 ) AND cake ( x _ 5 ) AND roll . theme ( x _ 7 , x _ 5 ) AND roll . agent ( x _ 7 , x _ 10 ) AND boy ( x _ 10 )"
Aiden liked a donut .,"like . agent ( x _ 1 , Aiden ) AND like . theme ( x _ 1 , x _ 3 ) AND donut ( x _ 3 )"
The cloud was held .,"* cloud ( x _ 1 ) ; hold . theme ( x _ 3 , x _ 1 )"
Emma liked that Evelyn declared that a giraffe burned .,"like . agent ( x _ 1 , Emma ) AND like . ccomp ( x _ 1 , x _ 4 ) AND declare . agent ( x _ 4 , Evelyn ) AND declare . ccomp ( x _ 4 , x _ 8 ) AND giraffe ( x _ 7 ) AND burn . theme ( x _ 8 , x _ 7 )"
A soldier liked the mouse .,"* mouse ( x _ 4 ) ; soldier ( x _ 1 ) AND like . agent ( x _ 2 , x _ 1 ) AND like . theme ( x _ 2 , x _ 4 )"
The doll was helped .,"* doll ( x _ 1 ) ; help . theme ( x _ 3 , x _ 1 )"
Emily sold Emma the cookie on a table .,"* cookie ( x _ 4 ) ; sell . agent ( x _ 1 , Emily ) AND sell . recipient ( x _ 1 , Emma ) AND sell . theme ( x _ 1 , x _ 4 ) AND cookie . nmod . on ( x _ 4 , x _ 7 ) AND table ( x _ 7 )"
The pancake was drawn by the girl .,"* pancake ( x _ 1 ) ; * girl ( x _ 6 ) ; draw . theme ( x _ 3 , x _ 1 ) AND draw . agent ( x _ 3 , x _ 6 )"
A baby slipped a cake on the table to Samuel .,"* table ( x _ 7 ) ; baby ( x _ 1 ) AND slip . agent ( x _ 2 , x _ 1 ) AND slip . theme ( x _ 2 , x _ 4 ) AND slip . recipient ( x _ 2 , Samuel ) AND cake ( x _ 4 ) AND cake . nmod . on ( x _ 4 , x _ 7 )"
The needle was helped by a doctor .,"* needle ( x _ 1 ) ; help . theme ( x _ 3 , x _ 1 ) AND help . agent ( x _ 3 , x _ 6 ) AND doctor ( x _ 6 )"
Emma was given the strawberry .,"* strawberry ( x _ 4 ) ; give . recipient ( x _ 2 , Emma ) AND give . theme ( x _ 2 , x _ 4 )"
The guard floated a drink .,"* guard ( x _ 1 ) ; float . agent ( x _ 2 , x _ 1 ) AND float . theme ( x _ 2 , x _ 4 ) AND drink ( x _ 4 )"
The radio was sold to a frog .,"* radio ( x _ 1 ) ; sell . theme ( x _ 3 , x _ 1 ) AND sell . recipient ( x _ 3 , x _ 6 ) AND frog ( x _ 6 )"
A child slipped a cow a cake .,"child ( x _ 1 ) AND slip . agent ( x _ 2 , x _ 1 ) AND slip . recipient ( x _ 2 , x _ 4 ) AND slip . theme ( x _ 2 , x _ 6 ) AND cow ( x _ 4 ) AND cake ( x _ 6 )"
The boy mailed a girl the cake beside a cassette beside a table .,"* boy ( x _ 1 ) ; * cake ( x _ 6 ) ; mail . agent ( x _ 2 , x _ 1 ) AND mail . recipient ( x _ 2 , x _ 4 ) AND mail . theme ( x _ 2 , x _ 6 ) AND girl ( x _ 4 ) AND cake . nmod . beside ( x _ 6 , x _ 9 ) AND cassette ( x _ 9 ) AND cassette . nmod . beside ( x _ 9 , x _ 12 ) AND table ( x _ 12 )"
The teacher liked the rose .,"* teacher ( x _ 1 ) ; * rose ( x _ 4 ) ; like . agent ( x _ 2 , x _ 1 ) AND like . theme ( x _ 2 , x _ 4 )"
The balloon was liked by Emma .,"* balloon ( x _ 1 ) ; like . theme ( x _ 3 , x _ 1 ) AND like . agent ( x _ 3 , Emma )"
Sophia rolled the president .,"* president ( x _ 3 ) ; roll . agent ( x _ 1 , Sophia ) AND roll . theme ( x _ 1 , x _ 3 )"
Lucas poked a driver on a table .,"poke . agent ( x _ 1 , Lucas ) AND poke . theme ( x _ 1 , x _ 3 ) AND driver ( x _ 3 ) AND driver . nmod . on ( x _ 3 , x _ 6 ) AND table ( x _ 6 )"
A hammer was loaned to a girl by Theodore .,"hammer ( x _ 1 ) AND loan . theme ( x _ 3 , x _ 1 ) AND loan . recipient ( x _ 3 , x _ 6 ) AND loan . agent ( x _ 3 , Theodore ) AND girl ( x _ 6 )"
A drink was split by Emma .,"drink ( x _ 1 ) AND split . theme ( x _ 3 , x _ 1 ) AND split . agent ( x _ 3 , Emma )"
The toy was painted by the girl .,"* toy ( x _ 1 ) ; * girl ( x _ 6 ) ; paint . theme ( x _ 3 , x _ 1 ) AND paint . agent ( x _ 3 , x _ 6 )"
A rose was touched by Hannah .,"rose ( x _ 1 ) AND touch . theme ( x _ 3 , x _ 1 ) AND touch . agent ( x _ 3 , Hannah )"
The teacher collapsed .,"* teacher ( x _ 1 ) ; collapse . theme ( x _ 2 , x _ 1 )"
A monkey rolled a pretzel .,"monkey ( x _ 1 ) AND roll . agent ( x _ 2 , x _ 1 ) AND roll . theme ( x _ 2 , x _ 4 ) AND pretzel ( x _ 4 )"
Jaxon,Jaxon
A cake was cooked by Emma .,"cake ( x _ 1 ) AND cook . theme ( x _ 3 , x _ 1 ) AND cook . agent ( x _ 3 , Emma )"
Olivia slept .,"sleep . agent ( x _ 1 , Olivia )"
William intended to hunt .,"intend . agent ( x _ 1 , William ) AND intend . xcomp ( x _ 1 , x _ 3 ) AND hunt . agent ( x _ 3 , William )"
The girl attempted to giggle .,"* girl ( x _ 1 ) ; attempt . agent ( x _ 2 , x _ 1 ) AND attempt . xcomp ( x _ 2 , x _ 4 ) AND giggle . agent ( x _ 4 , x _ 1 )"
The girl fed a donut beside the table to a zebra .,"* girl ( x _ 1 ) ; * table ( x _ 7 ) ; feed . agent ( x _ 2 , x _ 1 ) AND feed . theme ( x _ 2 , x _ 4 ) AND feed . recipient ( x _ 2 , x _ 10 ) AND donut ( x _ 4 ) AND donut . nmod . beside ( x _ 4 , x _ 7 ) AND zebra ( x _ 10 )"
Emma gave Harper the cake .,"* cake ( x _ 4 ) ; give . agent ( x _ 1 , Emma ) AND give . recipient ( x _ 1 , Harper ) AND give . theme ( x _ 1 , x _ 4 )"
The sandwich was liked by Olivia .,"* sandwich ( x _ 1 ) ; like . theme ( x _ 3 , x _ 1 ) AND like . agent ( x _ 3 , Olivia )"
The girl rolled a baby in a car .,"* girl ( x _ 1 ) ; roll . agent ( x _ 2 , x _ 1 ) AND roll . theme ( x _ 2 , x _ 4 ) AND baby ( x _ 4 ) AND baby . nmod . in ( x _ 4 , x _ 7 ) AND car ( x _ 7 )"
The boy valued that the raisin was given to Olivia by Aiden .,"* boy ( x _ 1 ) ; * raisin ( x _ 5 ) ; value . agent ( x _ 2 , x _ 1 ) AND value . ccomp ( x _ 2 , x _ 7 ) AND give . theme ( x _ 7 , x _ 5 ) AND give . recipient ( x _ 7 , Olivia ) AND give . agent ( x _ 7 , Aiden )"
A cracker rolled .,"cracker ( x _ 1 ) AND roll . theme ( x _ 2 , x _ 1 )"
A rose was examined .,"rose ( x _ 1 ) AND examine . theme ( x _ 3 , x _ 1 )"
Aria was lended a pancake by the dog .,"* dog ( x _ 7 ) ; lend . recipient ( x _ 2 , Aria ) AND lend . theme ( x _ 2 , x _ 4 ) AND lend . agent ( x _ 2 , x _ 7 ) AND pancake ( x _ 4 )"
James was fed the cake on the table by the boy .,"* cake ( x _ 4 ) ; * table ( x _ 7 ) ; * boy ( x _ 10 ) ; feed . recipient ( x _ 2 , James ) AND feed . theme ( x _ 2 , x _ 4 ) AND feed . agent ( x _ 2 , x _ 10 ) AND cake . nmod . on ( x _ 4 , x _ 7 )"
The cat liked that the girl was given the key on the stage by the boy .,"* cat ( x _ 1 ) ; * girl ( x _ 5 ) ; * key ( x _ 9 ) ; * stage ( x _ 12 ) ; * boy ( x _ 15 ) ; like . agent ( x _ 2 , x _ 1 ) AND like . ccomp ( x _ 2 , x _ 7 ) AND give . recipient ( x _ 7 , x _ 5 ) AND give . theme ( x _ 7 , x _ 9 ) AND give . agent ( x _ 7 , x _ 15 ) AND key . nmod . on ( x _ 9 , x _ 12 )"
